"Name","epoch/val_categorical_accuracy (Max)","epoch/categorical_accuracy (Max)","State","Notes","User","Tags","Created","Runtime","Sweep","T_max","epochs","features","max_lr","min_lr","scheduler","train_size","unique_classes","val_size","video_length","epoch/categorical_crossentropy","epoch/epoch","epoch/loss","epoch/val_categorical_crossentropy","epoch/val_loss","epoch/f1_micro_tf","epoch/mcc_metric_tf","epoch/val_f1_micro_tf","epoch/val_mcc_metric_tf","epoch/learning_rate"
"AK-BGRU256-LR-Dense256-gelu-fs=60-cls=5","0.7774999737739563","1","finished","Model summary : 
","mlewand","","2024-04-25T12:25:39.000Z","515","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.04849465191364288","","0.9439808130264282","1","1","0.7574999928474426","0.6990758776664734","0.000025072540665860288"
"AK-BGRU128-LR-Dense256-gelu-fs=60-cls=5","0.7774999737739563","1","finished","Model summary : 
","mlewand","","2024-04-25T12:18:28.000Z","428","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.04846820235252381","","1.0899300575256348","1","1","0.7524999976158142","0.6960449814796448","0.000025072540665860288"
"AK-BGRU64-LR-Dense256-gelu-fs=60-cls=5","0.7825000286102295","1","finished","Model summary : 
","mlewand","","2024-04-25T12:10:53.000Z","453","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.05058438703417778","","0.9477565884590148","0.9993749856948853","0.9992574453353882","0.7825000286102295","0.7291911840438843","0.000025072540665860288"
"AK-BGRU32-LR-Dense256-gelu-fs=60-cls=5","0.7724999785423279","1","finished","Model summary : 
","mlewand","","2024-04-25T12:02:14.000Z","516","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.057507384568452835","","0.941999077796936","0.9981250166893004","0.997709572315216","0.75","0.6913335919380188","0.000025072540665860288"
"AK-BGRU16-LR-Dense256-gelu-fs=60-cls=5","0.7900000214576721","0.9925000071525574","finished","Model summary : 
","mlewand","","2024-04-25T11:54:01.000Z","491","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.10005583614110948","","0.898545503616333","0.9881250262260436","0.9850844740867616","0.762499988079071","0.7034503221511841","0.000025072540665860288"
"AK-BLSTM256-LR-Dense256-gelu-cls=3","0.7649999856948853","1","finished","Model summary : 
","mlewand","","2024-04-25T11:44:42.000Z","556","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.046265553683042526","","1.14114511013031","1","1","0.7574999928474426","0.6994288563728333","0.000025072540665860288"
"AK-BLSTM128-LR-Dense256-gelu-fs=60-cls=5","0.7925000190734863","1","finished","Model summary : 
","mlewand","","2024-04-25T11:36:09.000Z","511","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.05198395624756813","","1.0396525859832764","1","1","0.7825000286102295","0.7297584414482117","0.000025072540665860288"
"AK-BLSTM64-LR-Dense256-gelu-cls=3","0.7774999737739563","0.9987499713897704","finished","Model summary : 
","mlewand","","2024-04-25T11:28:36.000Z","451","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.06524627655744553","","1.053091526031494","0.9987499713897704","0.9984259009361268","0.7699999809265137","0.7081590890884399","0.000025072540665860288"
"AK-BLSTM32-LR-Dense256-gelu-fs=60-cls=5","0.7850000262260437","0.9987499713897704","finished","Model summary : 
","mlewand","","2024-04-25T11:19:26.000Z","547","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.07230120152235031","","0.8815782070159912","0.996874988079071","0.996186912059784","0.7850000262260437","0.7331461906433105","0.000025072540665860288"
"AK-BLSTM16-LR-Dense256-gelu-fs=60-cls=5","0.7799999713897705","0.9887499809265136","finished","Model summary : 
","mlewand","","2024-04-25T11:10:49.000Z","515","","101","200","all","0.0001","0.00005","cosineAnnealer","1600","5","400","60","","199","0.10750335454940796","","0.9279782772064208","0.9850000143051147","0.9811667799949646","0.7524999976158142","0.694810152053833","0.000025072540665860288"
