"Step","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/loss","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/loss__MIN","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/loss__MAX","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_loss","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_loss__MIN","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_loss__MAX","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/loss","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/loss__MIN","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/loss__MAX","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_loss","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_loss__MIN","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_loss__MAX","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/loss","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/loss__MIN","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/loss__MAX","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_loss","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_loss__MIN","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_loss__MAX","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/loss","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/loss__MIN","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/loss__MAX","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/val_loss","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/val_loss__MIN","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/val_loss__MAX","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/loss","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/loss__MIN","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/loss__MAX","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_loss","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_loss__MIN","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_loss__MAX"
"0","1.7095967531204224","1.7095967531204224","1.7095967531204224","1.589400291442871","1.589400291442871","1.589400291442871","1.7684921026229858","1.7684921026229858","1.7684921026229858","1.754814624786377","1.754814624786377","1.754814624786377","1.62079656124115","1.62079656124115","1.62079656124115","1.5600764751434326","1.5600764751434326","1.5600764751434326","1.6507104635238647","1.6507104635238647","1.6507104635238647","1.6464729309082031","1.6464729309082031","1.6464729309082031","1.607064962387085","1.607064962387085","1.607064962387085","1.5013831853866577","1.5013831853866577","1.5013831853866577"
"1","1.588381290435791","1.588381290435791","1.588381290435791","1.5576571226119995","1.5576571226119995","1.5576571226119995","1.714186429977417","1.714186429977417","1.714186429977417","1.7138421535491943","1.7138421535491943","1.7138421535491943","1.4917466640472412","1.4917466640472412","1.4917466640472412","1.3855303525924683","1.3855303525924683","1.3855303525924683","1.641605257987976","1.641605257987976","1.641605257987976","1.6327540874481201","1.6327540874481201","1.6327540874481201","1.453566551208496","1.453566551208496","1.453566551208496","1.3617533445358276","1.3617533445358276","1.3617533445358276"
"2","1.5190871953964233","1.5190871953964233","1.5190871953964233","1.447039008140564","1.447039008140564","1.447039008140564","1.6674375534057617","1.6674375534057617","1.6674375534057617","1.6404578685760498","1.6404578685760498","1.6404578685760498","1.3568774461746216","1.3568774461746216","1.3568774461746216","1.2809869050979614","1.2809869050979614","1.2809869050979614","1.6260050535202026","1.6260050535202026","1.6260050535202026","1.6020382642745972","1.6020382642745972","1.6020382642745972","1.3305209875106812","1.3305209875106812","1.3305209875106812","1.2292958498001099","1.2292958498001099","1.2292958498001099"
"3","1.4167953729629517","1.4167953729629517","1.4167953729629517","1.3787178993225098","1.3787178993225098","1.3787178993225098","1.5265512466430664","1.5265512466430664","1.5265512466430664","1.4932366609573364","1.4932366609573364","1.4932366609573364","1.2657828330993652","1.2657828330993652","1.2657828330993652","1.1801308393478394","1.1801308393478394","1.1801308393478394","1.544432520866394","1.544432520866394","1.544432520866394","1.474552869796753","1.474552869796753","1.474552869796753","1.2528270483016968","1.2528270483016968","1.2528270483016968","1.1765865087509155","1.1765865087509155","1.1765865087509155"
"4","1.3335075378417969","1.3335075378417969","1.3335075378417969","1.2331315279006958","1.2331315279006958","1.2331315279006958","1.339935302734375","1.339935302734375","1.339935302734375","1.2835493087768555","1.2835493087768555","1.2835493087768555","1.2029283046722412","1.2029283046722412","1.2029283046722412","1.129095435142517","1.129095435142517","1.129095435142517","1.4112199544906616","1.4112199544906616","1.4112199544906616","1.5267072916030884","1.5267072916030884","1.5267072916030884","1.1843724250793457","1.1843724250793457","1.1843724250793457","1.1417421102523804","1.1417421102523804","1.1417421102523804"
"5","1.2518455982208252","1.2518455982208252","1.2518455982208252","1.1350252628326416","1.1350252628326416","1.1350252628326416","1.3063712120056152","1.3063712120056152","1.3063712120056152","1.2614537477493286","1.2614537477493286","1.2614537477493286","1.1404290199279785","1.1404290199279785","1.1404290199279785","1.100551724433899","1.100551724433899","1.100551724433899","1.3530715703964233","1.3530715703964233","1.3530715703964233","1.3294001817703247","1.3294001817703247","1.3294001817703247","1.0938540697097778","1.0938540697097778","1.0938540697097778","1.0398331880569458","1.0398331880569458","1.0398331880569458"
"6","1.1519674062728882","1.1519674062728882","1.1519674062728882","1.3275870084762573","1.3275870084762573","1.3275870084762573","1.246512532234192","1.246512532234192","1.246512532234192","1.1671199798583984","1.1671199798583984","1.1671199798583984","1.0758912563323975","1.0758912563323975","1.0758912563323975","1.0214496850967407","1.0214496850967407","1.0214496850967407","1.299560546875","1.299560546875","1.299560546875","1.2954047918319702","1.2954047918319702","1.2954047918319702","1.0725005865097046","1.0725005865097046","1.0725005865097046","0.9816583395004272","0.9816583395004272","0.9816583395004272"
"7","1.1221548318862915","1.1221548318862915","1.1221548318862915","1.0617380142211914","1.0617380142211914","1.0617380142211914","1.2278246879577637","1.2278246879577637","1.2278246879577637","1.1481451988220215","1.1481451988220215","1.1481451988220215","1.0368778705596924","1.0368778705596924","1.0368778705596924","1.0092501640319824","1.0092501640319824","1.0092501640319824","1.2434368133544922","1.2434368133544922","1.2434368133544922","1.2056870460510254","1.2056870460510254","1.2056870460510254","1.0345981121063232","1.0345981121063232","1.0345981121063232","0.9879869222640991","0.9879869222640991","0.9879869222640991"
"8","1.1056623458862305","1.1056623458862305","1.1056623458862305","1.0243303775787354","1.0243303775787354","1.0243303775787354","1.1277642250061035","1.1277642250061035","1.1277642250061035","1.057649850845337","1.057649850845337","1.057649850845337","1.0000954866409302","1.0000954866409302","1.0000954866409302","0.9584299325942993","0.9584299325942993","0.9584299325942993","1.2012345790863037","1.2012345790863037","1.2012345790863037","1.1450603008270264","1.1450603008270264","1.1450603008270264","0.99552321434021","0.99552321434021","0.99552321434021","0.9654477834701538","0.9654477834701538","0.9654477834701538"
"9","1.0449715852737427","1.0449715852737427","1.0449715852737427","1.087371587753296","1.087371587753296","1.087371587753296","1.088748574256897","1.088748574256897","1.088748574256897","1.0225266218185425","1.0225266218185425","1.0225266218185425","0.938231885433197","0.938231885433197","0.938231885433197","0.9402244091033936","0.9402244091033936","0.9402244091033936","1.1735708713531494","1.1735708713531494","1.1735708713531494","1.1295379400253296","1.1295379400253296","1.1295379400253296","0.9495251178741455","0.9495251178741455","0.9495251178741455","0.963236927986145","0.963236927986145","0.963236927986145"
