"Step","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/categorical_accuracy","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/categorical_accuracy__MIN","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/categorical_accuracy__MAX","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_categorical_accuracy","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_categorical_accuracy__MIN","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_categorical_accuracy__MAX","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/categorical_accuracy","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/categorical_accuracy__MIN","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/categorical_accuracy__MAX","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_categorical_accuracy","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_categorical_accuracy__MIN","AK-GRU512-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_categorical_accuracy__MAX","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/categorical_accuracy","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/categorical_accuracy__MIN","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/categorical_accuracy__MAX","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_categorical_accuracy","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_categorical_accuracy__MIN","AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5 - epoch/val_categorical_accuracy__MAX","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/categorical_accuracy","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/categorical_accuracy__MIN","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/categorical_accuracy__MAX","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/val_categorical_accuracy","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/val_categorical_accuracy__MIN","AK-LSTM64-LR-Dense256-fs=36-cls=5 - epoch/val_categorical_accuracy__MAX","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/categorical_accuracy","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/categorical_accuracy__MIN","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/categorical_accuracy__MAX","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_categorical_accuracy","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_categorical_accuracy__MIN","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_categorical_accuracy__MAX"
"0","0.23000000417232513","0.23000000417232513","0.23000000417232513","0.19499999284744263","0.19499999284744263","0.19499999284744263","0.22624999284744263","0.22624999284744263","0.22624999284744263","0.2150000035762787","0.2150000035762787","0.2150000035762787","0.2549999952316284","0.2549999952316284","0.2549999952316284","0.3449999988079071","0.3449999988079071","0.3449999988079071","0.2212499976158142","0.2212499976158142","0.2212499976158142","0.26249998807907104","0.26249998807907104","0.26249998807907104","0.2762500047683716","0.2762500047683716","0.2762500047683716","0.38499999046325684","0.38499999046325684","0.38499999046325684"
"1","0.25562500953674316","0.25562500953674316","0.25562500953674316","0.3199999928474426","0.3199999928474426","0.3199999928474426","0.24062499403953552","0.24062499403953552","0.24062499403953552","0.21250000596046448","0.21250000596046448","0.21250000596046448","0.37312498688697815","0.37312498688697815","0.37312498688697815","0.4325000047683716","0.4325000047683716","0.4325000047683716","0.23937499523162842","0.23937499523162842","0.23937499523162842","0.2874999940395355","0.2874999940395355","0.2874999940395355","0.3893750011920929","0.3893750011920929","0.3893750011920929","0.4424999952316284","0.4424999952316284","0.4424999952316284"
"2","0.3162499964237213","0.3162499964237213","0.3162499964237213","0.35749998688697815","0.35749998688697815","0.35749998688697815","0.27437499165534973","0.27437499165534973","0.27437499165534973","0.26249998807907104","0.26249998807907104","0.26249998807907104","0.44312500953674316","0.44312500953674316","0.44312500953674316","0.4399999976158142","0.4399999976158142","0.4399999976158142","0.29374998807907104","0.29374998807907104","0.29374998807907104","0.35249999165534973","0.35249999165534973","0.35249999165534973","0.4412499964237213","0.4412499964237213","0.4412499964237213","0.4749999940395355","0.4749999940395355","0.4749999940395355"
"3","0.3543750047683716","0.3543750047683716","0.3543750047683716","0.36500000953674316","0.36500000953674316","0.36500000953674316","0.3737500011920929","0.3737500011920929","0.3737500011920929","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.47312501072883606","0.47312501072883606","0.47312501072883606","0.47999998927116394","0.47999998927116394","0.47999998927116394","0.37812501192092896","0.37812501192092896","0.37812501192092896","0.3400000035762787","0.3400000035762787","0.3400000035762787","0.4724999964237213","0.4724999964237213","0.4724999964237213","0.5","0.5","0.5"
"4","0.4025000035762787","0.4025000035762787","0.4025000035762787","0.4074999988079071","0.4074999988079071","0.4074999988079071","0.42124998569488525","0.42124998569488525","0.42124998569488525","0.4325000047683716","0.4325000047683716","0.4325000047683716","0.4962500035762787","0.4962500035762787","0.4962500035762787","0.4975000023841858","0.4975000023841858","0.4975000023841858","0.3881250023841858","0.3881250023841858","0.3881250023841858","0.2849999964237213","0.2849999964237213","0.2849999964237213","0.4925000071525574","0.4925000071525574","0.4925000071525574","0.5149999856948853","0.5149999856948853","0.5149999856948853"
"5","0.44437500834465027","0.44437500834465027","0.44437500834465027","0.4375","0.4375","0.4375","0.43687498569488525","0.43687498569488525","0.43687498569488525","0.4099999964237213","0.4099999964237213","0.4099999964237213","0.5249999761581421","0.5249999761581421","0.5249999761581421","0.5375000238418579","0.5375000238418579","0.5375000238418579","0.39625000953674316","0.39625000953674316","0.39625000953674316","0.39500001072883606","0.39500001072883606","0.39500001072883606","0.5456249713897705","0.5456249713897705","0.5456249713897705","0.550000011920929","0.550000011920929","0.550000011920929"
"6","0.48875001072883606","0.48875001072883606","0.48875001072883606","0.39250001311302185","0.39250001311302185","0.39250001311302185","0.4650000035762787","0.4650000035762787","0.4650000035762787","0.4650000035762787","0.4650000035762787","0.4650000035762787","0.5575000047683716","0.5575000047683716","0.5575000047683716","0.5425000190734863","0.5425000190734863","0.5425000190734863","0.42750000953674316","0.42750000953674316","0.42750000953674316","0.3774999976158142","0.3774999976158142","0.3774999976158142","0.5487499833106995","0.5487499833106995","0.5487499833106995","0.5649999976158142","0.5649999976158142","0.5649999976158142"
"7","0.4950000047683716","0.4950000047683716","0.4950000047683716","0.5325000286102295","0.5325000286102295","0.5325000286102295","0.4749999940395355","0.4749999940395355","0.4749999940395355","0.4675000011920929","0.4675000011920929","0.4675000011920929","0.5837500095367432","0.5837500095367432","0.5837500095367432","0.5924999713897705","0.5924999713897705","0.5924999713897705","0.4568749964237213","0.4568749964237213","0.4568749964237213","0.42250001430511475","0.42250001430511475","0.42250001430511475","0.5724999904632568","0.5724999904632568","0.5724999904632568","0.574999988079071","0.574999988079071","0.574999988079071"
"8","0.5118749737739563","0.5118749737739563","0.5118749737739563","0.5375000238418579","0.5375000238418579","0.5375000238418579","0.53125","0.53125","0.53125","0.5575000047683716","0.5575000047683716","0.5575000047683716","0.6043750047683716","0.6043750047683716","0.6043750047683716","0.6025000214576721","0.6025000214576721","0.6025000214576721","0.4781250059604645","0.4781250059604645","0.4781250059604645","0.45750001072883606","0.45750001072883606","0.45750001072883606","0.5856249928474426","0.5856249928474426","0.5856249928474426","0.6025000214576721","0.6025000214576721","0.6025000214576721"
"9","0.5487499833106995","0.5487499833106995","0.5487499833106995","0.5199999809265137","0.5199999809265137","0.5199999809265137","0.5406249761581421","0.5406249761581421","0.5406249761581421","0.5699999928474426","0.5699999928474426","0.5699999928474426","0.6274999976158142","0.6274999976158142","0.6274999976158142","0.6025000214576721","0.6025000214576721","0.6025000214576721","0.4893749952316284","0.4893749952316284","0.4893749952316284","0.47999998927116394","0.47999998927116394","0.47999998927116394","0.6212499737739563","0.6212499737739563","0.6212499737739563","0.6050000190734863","0.6050000190734863","0.6050000190734863"
