"Name","epoch/val_categorical_accuracy (Max)","epoch/categorical_accuracy (Max)","State","Notes","User","Tags","Created","Runtime","Sweep","T_max","epochs","features","max_lr","min_lr","scheduler","train_size","unique_classes","val_size","video_length","epoch/categorical_crossentropy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_categorical_crossentropy","epoch/val_loss"
"RK-BGRU64-LR-Dense256-gelu-fs=36-cls=5","0.7325000166893005","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb686965910>","mlewand","","2024-04-23T11:19:00.000Z","1959","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7126398682594299","","1.224635362625122"
"RK-BGRU32-LR-Dense256-gelu-fs=36-cls=5","0.7149999737739563","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb654542950>","mlewand","","2024-04-23T10:45:31.000Z","2006","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7240437865257263","","1.2538360357284546"
"RK-BGRU16-LR-Dense256-gelu-fs=36-cls=5","0.7024999856948853","0.9993749856948853","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb664587890>","mlewand","","2024-04-23T10:12:26.000Z","1982","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7481438517570496","","1.2725602388381958"
"RK-BLSTM256-LR-Dense256-gelu-fs=36-cls=5","0.7400000095367432","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb6bc35d990>","mlewand","","2024-04-23T09:40:43.000Z","1901","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7049766778945923","","1.200243353843689"
"RK-BLSTM128-LR-Dense256-gelu-fs=36-cls=5","0.7250000238418579","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbdd4422790>","mlewand","","2024-04-23T09:08:22.000Z","1939","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.71543288230896","","1.2677035331726074"
"RK-BLSTM64-LR-Dense256-gelu-fs=36-cls=5","0.7099999785423279","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb6a0bf59d0>","mlewand","","2024-04-23T08:36:23.000Z","1915","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7157634496688843","","1.2902706861495972"
"RK-BLSTM32-LR-Dense256-gelu-fs=36-cls=5","0.6850000023841858","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb714117890>","mlewand","","2024-04-23T08:02:41.000Z","2006","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7096824049949646","","1.2891552448272705"
"RK-BLSTM16-LR-Dense256-gelu-fs=36-cls=5","0.6924999952316284","0.9993749856948853","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbd102009d0>","mlewand","","2024-04-23T07:29:31.000Z","1987","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7217053174972534","","1.335370659828186"
"RK-GRU512-LR-Dense256-gelu-fs=36-cls=5","0.7475000023841858","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb7141bee10>","mlewand","","2024-04-23T06:58:26.000Z","1863","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7009469866752625","","1.1529282331466677"
"RK-GRU256-LR-Dense256-gelu-fs=36-cls=5","0.7524999976158142","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbd58582450>","mlewand","","2024-04-23T06:27:03.000Z","1881","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7061941623687744","","1.1727383136749268"
"RK-GRU128-LR-Dense256-gelu-fs=36-cls=5","0.7350000143051147","0.9987499713897704","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbd103b61d0>","mlewand","","2024-04-23T05:55:30.000Z","1891","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7183629870414734","","1.217030644416809"
"RK-GRU64-LR-Dense256-gelu-fs=36-cls=5","0.7200000286102295","0.975624978542328","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbdd47f5e90>","mlewand","","2024-04-23T05:24:03.000Z","1882","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7606683373451233","","1.224997878074646"
"RK-GRU32-LR-Dense256-gelu-fs=36-cls=5","0.7149999737739563","0.909375011920929","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbde47bfd50>","mlewand","","2024-04-23T04:52:21.000Z","1899","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.8584426045417786","","1.1755764484405518"
