"Step","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/categorical_accuracy","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/categorical_accuracy__MIN","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/categorical_accuracy__MAX","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_categorical_accuracy","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_categorical_accuracy__MIN","AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128 - epoch/val_categorical_accuracy__MAX","AK-GRU128-LR-Dense256-gelu-cls=5 - epoch/categorical_accuracy","AK-GRU128-LR-Dense256-gelu-cls=5 - epoch/categorical_accuracy__MIN","AK-GRU128-LR-Dense256-gelu-cls=5 - epoch/categorical_accuracy__MAX","AK-GRU128-LR-Dense256-gelu-cls=5 - epoch/val_categorical_accuracy","AK-GRU128-LR-Dense256-gelu-cls=5 - epoch/val_categorical_accuracy__MIN","AK-GRU128-LR-Dense256-gelu-cls=5 - epoch/val_categorical_accuracy__MAX","AK-LSTM128-LR-Dense256-fs=36-cls=5 - epoch/categorical_accuracy","AK-LSTM128-LR-Dense256-fs=36-cls=5 - epoch/categorical_accuracy__MIN","AK-LSTM128-LR-Dense256-fs=36-cls=5 - epoch/categorical_accuracy__MAX","AK-LSTM128-LR-Dense256-fs=36-cls=5 - epoch/val_categorical_accuracy","AK-LSTM128-LR-Dense256-fs=36-cls=5 - epoch/val_categorical_accuracy__MIN","AK-LSTM128-LR-Dense256-fs=36-cls=5 - epoch/val_categorical_accuracy__MAX","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/categorical_accuracy","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/categorical_accuracy__MIN","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/categorical_accuracy__MAX","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_categorical_accuracy","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_categorical_accuracy__MIN","AK-BLSTM16-LR-Dense256-gelu-cls=3 - epoch/val_categorical_accuracy__MAX","AK-BGRU64-LR-Dense256-gelu-cls=5 - epoch/categorical_accuracy","AK-BGRU64-LR-Dense256-gelu-cls=5 - epoch/categorical_accuracy__MIN","AK-BGRU64-LR-Dense256-gelu-cls=5 - epoch/categorical_accuracy__MAX","AK-BGRU64-LR-Dense256-gelu-cls=5 - epoch/val_categorical_accuracy","AK-BGRU64-LR-Dense256-gelu-cls=5 - epoch/val_categorical_accuracy__MIN","AK-BGRU64-LR-Dense256-gelu-cls=5 - epoch/val_categorical_accuracy__MAX"
"0","0.23000000417232513","0.23000000417232513","0.23000000417232513","0.19499999284744263","0.19499999284744263","0.19499999284744263","0.21705882251262665","0.21705882251262665","0.21705882251262665","0.2133333384990692","0.2133333384990692","0.2133333384990692","0.2294117659330368","0.2294117659330368","0.2294117659330368","0.25","0.25","0.25","0.2762500047683716","0.2762500047683716","0.2762500047683716","0.38499999046325684","0.38499999046325684","0.38499999046325684","0.33352941274642944","0.33352941274642944","0.33352941274642944","0.4099999964237213","0.4099999964237213","0.4099999964237213"
"1","0.25562500953674316","0.25562500953674316","0.25562500953674316","0.3199999928474426","0.3199999928474426","0.3199999928474426","0.23058824241161346","0.23058824241161346","0.23058824241161346","0.21666666865348816","0.21666666865348816","0.21666666865348816","0.27352941036224365","0.27352941036224365","0.27352941036224365","0.2866666615009308","0.2866666615009308","0.2866666615009308","0.3893750011920929","0.3893750011920929","0.3893750011920929","0.4424999952316284","0.4424999952316284","0.4424999952316284","0.477647066116333","0.477647066116333","0.477647066116333","0.5","0.5","0.5"
"2","0.3162499964237213","0.3162499964237213","0.3162499964237213","0.35749998688697815","0.35749998688697815","0.35749998688697815","0.24588234722614288","0.24588234722614288","0.24588234722614288","0.2133333384990692","0.2133333384990692","0.2133333384990692","0.34294116497039795","0.34294116497039795","0.34294116497039795","0.36666667461395264","0.36666667461395264","0.36666667461395264","0.4412499964237213","0.4412499964237213","0.4412499964237213","0.4749999940395355","0.4749999940395355","0.4749999940395355","0.5476470589637756","0.5476470589637756","0.5476470589637756","0.54666668176651","0.54666668176651","0.54666668176651"
"3","0.3543750047683716","0.3543750047683716","0.3543750047683716","0.36500000953674316","0.36500000953674316","0.36500000953674316","0.27000001072883606","0.27000001072883606","0.27000001072883606","0.23999999463558197","0.23999999463558197","0.23999999463558197","0.39588233828544617","0.39588233828544617","0.39588233828544617","0.35333332419395447","0.35333332419395447","0.35333332419395447","0.4724999964237213","0.4724999964237213","0.4724999964237213","0.5","0.5","0.5","0.5776470303535461","0.5776470303535461","0.5776470303535461","0.5333333611488342","0.5333333611488342","0.5333333611488342"
"4","0.4025000035762787","0.4025000035762787","0.4025000035762787","0.4074999988079071","0.4074999988079071","0.4074999988079071","0.28882351517677307","0.28882351517677307","0.28882351517677307","0.3100000023841858","0.3100000023841858","0.3100000023841858","0.41823530197143555","0.41823530197143555","0.41823530197143555","0.47333332896232605","0.47333332896232605","0.47333332896232605","0.4925000071525574","0.4925000071525574","0.4925000071525574","0.5149999856948853","0.5149999856948853","0.5149999856948853","0.5905882120132446","0.5905882120132446","0.5905882120132446","0.5433333516120911","0.5433333516120911","0.5433333516120911"
"5","0.44437500834465027","0.44437500834465027","0.44437500834465027","0.4375","0.4375","0.4375","0.35235294699668884","0.35235294699668884","0.35235294699668884","0.3866666555404663","0.3866666555404663","0.3866666555404663","0.45941177010536194","0.45941177010536194","0.45941177010536194","0.49000000953674316","0.49000000953674316","0.49000000953674316","0.5456249713897705","0.5456249713897705","0.5456249713897705","0.550000011920929","0.550000011920929","0.550000011920929","0.6170588135719299","0.6170588135719299","0.6170588135719299","0.6399999856948853","0.6399999856948853","0.6399999856948853"
"6","0.48875001072883606","0.48875001072883606","0.48875001072883606","0.39250001311302185","0.39250001311302185","0.39250001311302185","0.40294116735458374","0.40294116735458374","0.40294116735458374","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.47882354259490967","0.47882354259490967","0.47882354259490967","0.47333332896232605","0.47333332896232605","0.47333332896232605","0.5487499833106995","0.5487499833106995","0.5487499833106995","0.5649999976158142","0.5649999976158142","0.5649999976158142","0.6652941107749939","0.6652941107749939","0.6652941107749939","0.70333331823349","0.70333331823349","0.70333331823349"
"7","0.4950000047683716","0.4950000047683716","0.4950000047683716","0.5325000286102295","0.5325000286102295","0.5325000286102295","0.4300000071525574","0.4300000071525574","0.4300000071525574","0.4333333373069763","0.4333333373069763","0.4333333373069763","0.4811764657497406","0.4811764657497406","0.4811764657497406","0.49666666984558105","0.49666666984558105","0.49666666984558105","0.5724999904632568","0.5724999904632568","0.5724999904632568","0.574999988079071","0.574999988079071","0.574999988079071","0.679411768913269","0.679411768913269","0.679411768913269","0.6600000262260437","0.6600000262260437","0.6600000262260437"
"8","0.5118749737739563","0.5118749737739563","0.5118749737739563","0.5375000238418579","0.5375000238418579","0.5375000238418579","0.4399999976158142","0.4399999976158142","0.4399999976158142","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.5229411721229553","0.5229411721229553","0.5229411721229553","0.5766666531562805","0.5766666531562805","0.5766666531562805","0.5856249928474426","0.5856249928474426","0.5856249928474426","0.6025000214576721","0.6025000214576721","0.6025000214576721","0.6947059035301208","0.6947059035301208","0.6947059035301208","0.6600000262260437","0.6600000262260437","0.6600000262260437"
"9","0.5487499833106995","0.5487499833106995","0.5487499833106995","0.5199999809265137","0.5199999809265137","0.5199999809265137","0.46294116973876953","0.46294116973876953","0.46294116973876953","0.38333332538604736","0.38333332538604736","0.38333332538604736","0.548235297203064","0.548235297203064","0.548235297203064","0.5833333134651184","0.5833333134651184","0.5833333134651184","0.6212499737739563","0.6212499737739563","0.6212499737739563","0.6050000190734863","0.6050000190734863","0.6050000190734863","0.7047058939933777","0.7047058939933777","0.7047058939933777","0.6766666769981384","0.6766666769981384","0.6766666769981384"
